scenario,search_location,hotel_name,stars_clean,district,address,room_class,room_type,bed_class,bed_type,rooms,final_price,original_price,discount_percent,rating_clean,review_count,location_clean,distance_km,free_cancel_bool,breakfast_bool,badge_clean,adults,children,total_guests,check_in
Random_2A_0C_2R,Vung Tau,Nhà Nghỉ Kim Phượng Vũng Tàu,0,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,2,540000,540000,0,5.5,2,,6.7,0,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Vung Tau,Nhà Nghỉ Kim Phượng Vũng Tàu,0,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,1,570000,570000,0,5.5,2,,6.7,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Vung Tau,Nhà Nghỉ Kim Phượng Vũng Tàu,0,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,1,600000,600000,0,5.5,2,,6.7,0,0,No Deal,4,0,4,12/23/2025
Random_4A_0C_3R,Vung Tau,Nhà Nghỉ Kim Phượng Vũng Tàu,0,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,3,840000,840000,0,5.5,2,,6.7,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Vung Tau,Nhà Nghỉ Kim Phượng Vũng Tàu,0,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,2,870000,870000,0,5.5,2,,6.7,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Vung Tau,Nhà Nghỉ Kim Phượng Vũng Tàu,0,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,3,900000,900000,0,5.5,2,,6.7,0,0,No Deal,6,0,6,12/23/2025
Random_6A_1C_4R_Ages(7),Vung Tau,Nhà Nghỉ Kim Phượng Vũng Tàu,0,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,4,1170000,1170000,0,5.5,2,,6.7,0,0,No Deal,6,1,7,12/23/2025
Random_2A_0C_1R,Binh Duong,Nhà nghỉ nam phương,0,Binh Duong,Ấp Phú Thọ,Standard/Superior,Phòng 3 Người,Double/Large,1 giường đôi lớn,1,300000,300000,0,9,2,,,1,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Binh Duong,Nhà nghỉ nam phương,0,Binh Duong,Ấp Phú Thọ,Standard/Superior,Phòng Đôi hoặc 2 giường đơn Lớn,Double/Large,Phòng Đôi hoặc 2 giường đơn Lớn,1,450000,450000,0,9,2,,,1,0,No Deal,3,0,3,12/23/2025
Random_5A_0C_2R,Binh Duong,Nhà nghỉ nam phương,0,Binh Duong,Ấp Phú Thọ,Standard/Superior,Phòng 3 Người,Double/Large,1 giường đôi lớn,2,750000,750000,0,9,2,,,1,0,No Deal,5,0,5,12/23/2025
Random_2A_0C_1R,Vung Tau,Nhà nghỉ PHƯƠNG HIỀN,0,Vung Tau,Vũng Tàu,Standard/Superior,Phòng Có Giường Cỡ King,Double/Large,Phòng Có Giường Cỡ King,1,200000,200000,0,9,23,,6.5,0,0,No Deal,2,0,2,12/23/2025
Random_2A_0C_1R,Binh Duong,Nhà nghỉ thảo ngân,0,Binh Duong,Bình Mỹ,Standard/Superior,Phòng 3 Người,Double/Large,1 giường đôi lớn,1,282000,282000,0,7,2,,,1,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Binh Duong,Nhà nghỉ thảo ngân,0,Binh Duong,Bình Mỹ,Deluxe,Phòng Deluxe Giường Đôi/2 Giường Đơn,Double/Large,Phòng Deluxe Giường Đôi/2 Giường Đơn,1,423000,423000,0,7,2,,,1,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_3R,Binh Duong,Nhà nghỉ thảo ngân,0,Binh Duong,Bình Mỹ,Standard/Superior,Phòng 3 Người,Double/Large,1 giường đôi lớn,3,611000,611000,0,7,2,,,1,0,No Deal,4,0,4,12/23/2025
