room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
ROOM_003003,IVU_000005,Deluxe giường đôi hoặc 2 giường,601500,28 m²,Vải trải giường,2,Hướng City view,Hướng City view; 28 m²; Hướng City view; 28 m²; Phòng không hút thuốc; Bồn tắm; Máy sấy tóc; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Truy cập Internet - không dây; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Vải trải giường; Dép đi trong nhà; Dịch vụ báo thức; Bàn ăn; Nước đóng chai miễn phí; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Bàn làm việc; Thùng rác; Tủ quần áo; Giá treo quần áo; Đi lên bằng thang máy; Két sắt trong phòng; Tủ có khoá; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_003004,IVU_000009,Studio Executive,1097250,35 m²,Giường cũi của em bé (theo yêu cầu),3,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 35 m²; Phòng không hút thuốc; Vòi hoa sen; Máy lạnh; 1 phòng ngủ; Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Áo choàng tắm; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Truy cập Internet - không dây; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Dịch vụ báo thức; Trà miễn phí; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Máy sấy quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_003005,IVU_000009,Studio Premier,1269750,50 m²,Giường cũi của em bé (theo yêu cầu),3,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 50 m²; Phòng không hút thuốc; Bồn tắm; Máy lạnh; 1 Giường Queen (1m6 x 2m ); Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Bồn tắm; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ô; Dịch vụ báo thức; Trà miễn phí; Bàn ăn; Máy rửa bát; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Máy giặt; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_003006,IVU_000009,01 Bedroom Deluxe,1464000,54 m²,Giường cũi của em bé (theo yêu cầu),3,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 54 m²; Phòng không hút thuốc; Vòi hoa sen; Máy lạnh; 1 Giường Queen (1m6 x 2m ); Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ô; Dịch vụ báo thức; Trà miễn phí; Bàn ăn; Máy rửa bát; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Máy giặt; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_003007,IVU_000009,Phòng Thương Gia Một Phòng Ngủ,1591250,60 m²,Giường cũi của em bé (theo yêu cầu),3,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 60 m²; Phòng không hút thuốc; Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Bồn tắm; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ô; Dịch vụ báo thức; Trà miễn phí; Bàn ăn; Máy rửa bát; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Phòng khách riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Máy giặt; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_003008,IVU_000009,01 Bedroom Premier,1691500,63 m²,Giường cũi của em bé (theo yêu cầu),3,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 63 m²; Phòng không hút thuốc; Vòi hoa sen; Máy lạnh; 1 Giường Queen (1m6 x 2m ); Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ô; Dịch vụ báo thức; Trà miễn phí; Bàn ăn; Máy rửa bát; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Phòng khách riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Máy giặt; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_004004,IVU_000010,Căn hộ,736000,45 m²,Vải trải giường,4,,45 m²; Phòng không hút thuốc; 45 m²; Phòng không hút thuốc; Máy sấy tóc; Vật dụng tắm rửa; Các loại khăn; Internet mạng LAN trong phòng [miễn phí]; TV; Wi-Fi [miễn phí]; Điều hòa; Vải trải giường; Lối đi riêng; Bàn làm việc; Tủ quần áo; Máy sấy quần áo; Tiện nghi là/ủi; Máy giặt; Bình chữa cháy
ROOM_005004,IVU_000011,Phòng Đôi,954500,20 m²,Ổ cắm điện gần giường,2,Hướng City view,Hướng City view; 20 m²; Hướng City view; 22 m²; Hướng City view; 35 m²; Hướng City view; 20 m²; Phòng không hút thuốc; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Phòng tắm đứng; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Bộ chuyển đổi nguồn; Điều hòa; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Tủ lạnh; Bàn làm việc; Khu vực tiếp khách; Sàn lát gạch/Sàn đá cẩm thạch; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_005005,IVU_000011,HAI GIƯỜNG ĐƠN,1094250,22 m²,Ổ cắm điện gần giường,2,Hướng City view,Hướng City view; 20 m²; Hướng City view; 22 m²; Hướng City view; 35 m²; Hướng City view; 22 m²; Phòng không hút thuốc; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Phòng tắm đứng; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Bộ chuyển đổi nguồn; Điều hòa; Rèm che ánh sáng; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Bàn ăn; Tủ lạnh; Bàn làm việc; Khu vực tiếp khách; Sàn lát gạch/Sàn đá cẩm thạch; Thùng rác; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
ROOM_005006,IVU_000011,Studio,1554500,35 m²,Ổ cắm điện gần giường,2,Hướng City view,Hướng City view; 20 m²; Hướng City view; 22 m²; Hướng City view; 35 m²; Hướng City view; 35 m²; Phòng không hút thuốc; Ấm nước điện; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Phòng tắm đứng; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Bộ chuyển đổi nguồn; Điều hòa; Rèm che ánh sáng; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Bàn ăn; Ấm nước; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh; Bàn làm việc; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Sàn lát gạch/Sàn đá cẩm thạch; Thùng rác; Cửa sổ; Tủ quần áo; Tiện nghi là/ủi; Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
