Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,room_class,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge
2025000.0,2.0,16.0,126562.5,8.0,20,0,Standard,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
10450000.0,5.0,20.0,522500.0,4.0,20,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
3586680.0,2.0,16.0,224167.5,8.0,32,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1
9465108.0,4.0,22.0,430232.1818181818,5.5,18,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
1372678.0,1.0,6.0,228779.66666666666,6.0,20,0,Standard,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2697750.0,3.0,25.0,107910.0,8.333333333333334,28,0,Standard,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1
13500000.0,5.0,50.0,270000.0,10.0,16,0,Standard,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
1837500.0,3.0,16.0,114843.75,5.333333333333333,15,0,Standard,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4546666.0,5.0,20.0,227333.3,4.0,19,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
10728000.0,5.0,15.0,715200.0,3.0,22,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
4594770.0,1.0,25.0,183790.8,25.0,21,0,Standard,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
380000.0,2.0,30.0,12666.666666666666,15.0,1,0,Standard,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1
6562000.0,5.0,15.0,437466.6666666667,3.0,16,0,Standard,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
12600000.0,5.0,17.0,741176.4705882353,3.4,17,0,Standard,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
