hotel_id,city,hotel_name,hotel_link
IVU_000039,binh-duong,"Ruby ShopHouse 16 tại Eco Xuân , Thuận An",https://www.ivivu.com/khach-san-binh-duong/ruby-shophouse-16-tai-eco-xuan-thuan-an
IVU_000040,binh-duong,Thịnh Gia Hotel,https://www.ivivu.com/khach-san-binh-duong/thinh-gia-hotel
IVU_000041,binh-duong,Lucky life hotel,https://www.ivivu.com/khach-san-binh-duong/lucky-life-hotel
IVU_000042,binh-duong,"Biệt thự 850 m² 21 phòng ngủ, 21 phòng tắm riêng ở Bến Cát",https://www.ivivu.com/khach-san-binh-duong/anh-khoa-hotel-noi-de-tan-huong
IVU_000043,binh-duong,"Căn Hộ Cao Cấp 5 Sao Charm City Dĩ An,Bình Dương",https://www.ivivu.com/khach-san-binh-duong/can-ho-cao-cap-5-sao-charm-city-di-an-binh-duong
IVU_000044,binh-duong,Căn Hộ Home Stay 5 Sao (Reosort) Dĩ An - 3KM TPHCM,https://www.ivivu.com/khach-san-binh-duong/can-ho-home-stay-5-sao-reosort-di-an-3km-tphcm
IVU_000045,binh-duong,Hotel Thanh Tùng A2,https://www.ivivu.com/khach-san-binh-duong/hotel-thanh-tung
IVU_000046,binh-duong,Vietnamese-German University Guest Housing,https://www.ivivu.com/khach-san-binh-duong/vietnamese-german-university-guest-housing
IVU_000047,binh-duong,Khách sạn Thùy Dương,https://www.ivivu.com/khach-san-binh-duong/thuy-duong-hotel
IVU_000048,binh-duong,Khách sạn An San,https://www.ivivu.com/khach-san-binh-duong/an-san-hotel
IVU_000049,binh-duong,BIG PROMO Luxyry 2 bedroom Charm City Appartment,https://www.ivivu.com/khach-san-binh-duong/big-promo-luxyry-2-bedroom-charm-city-appartment
IVU_000050,binh-duong,Khách sạn Thanh Vân,https://www.ivivu.com/khach-san-binh-duong/thanh-van-hotel-29256702
IVU_000051,binh-duong,"Khu phức hợp Charm City, căn hộ cao cấp nhất Dĩ An",https://www.ivivu.com/khach-san-binh-duong/khu-ph%E1%BB%A9c-hop-charm-city-can-ho-cao-cap-nhat-di-an
IVU_000052,binh-duong,"CH Charm Plaza,Vincom Di An, Binh Dương. Mới 100%",https://www.ivivu.com/khach-san-binh-duong/ch-charm-plaza-vincom-di-an-binh-duong-moi-100
IVU_000053,binh-duong,Nhà Nghỉ VENUS 6(VENUS 6 Hotel),https://www.ivivu.com/khach-san-binh-duong/nha-nghi-venus-6-venus-6-hotel
IVU_000054,binh-duong,CitiGo HOTEL,https://www.ivivu.com/khach-san-binh-duong/citigo-hotel
IVU_000055,binh-duong,Hoang Nam Hotel,https://www.ivivu.com/khach-san-binh-duong/hoang-nam-hotel-34005201
IVU_000056,binh-duong,Thien Ha Hotel,https://www.ivivu.com/khach-san-binh-duong/thien-ha-hotel
IVU_000057,binh-duong,Khách sạn Khang Điền 2,https://www.ivivu.com/khach-san-binh-duong/khach-san-khang-dien-2
IVU_000058,binh-duong,Amanda Boutique - Serviced Apartment & Hotel Binh Duong,https://www.ivivu.com/khach-san-binh-duong/amanda-boutique-serviced-apartment-hotel-binh-duong
IVU_000059,binh-duong,Căn hộ 2 ngủ View Sài Gòn,https://www.ivivu.com/khach-san-binh-duong/can-ho-2-ngu-view-sai-gon
IVU_000060,binh-duong,BĂNG BOUTIQUE HOTEL,https://www.ivivu.com/khach-san-binh-duong/bang-boutique-hotel
