room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
ROOM_006008,IVU_000008,Grand Luxury,1639000,35 m²,1 Giường đôi,2,Hướng thành phố,18-20 m²; Cửa sổ; 22-26 m²; Cửa sổ; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; 28 m²; Cửa sổ; Hướng thành phố; 35 m²; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; Cửa sổ; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_006009,IVU_000008,Premier Triple,1639000,28 m²,1 Giường đôi,2,Hướng thành phố,18-20 m²; Cửa sổ; 22-26 m²; Cửa sổ; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; 28 m²; Cửa sổ; Hướng thành phố; 35 m²; Hướng thành phố; 32 m²; 28 m²; Cửa sổ; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_006010,IVU_000008,Suite Balcony,1749000,35 m²,1 Giường đôi,2,Hướng thành phố,18-20 m²; Cửa sổ; 22-26 m²; Cửa sổ; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; 28 m²; Cửa sổ; Hướng thành phố; 35 m²; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; Cửa sổ; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_006011,IVU_000008,Executive Triple,1837000,32 m²,1 Giường đôi,2,Hướng thành phố,18-20 m²; Cửa sổ; 22-26 m²; Cửa sổ; Hướng thành phố; 32 m²; Hướng thành phố; 35 m²; 28 m²; Cửa sổ; Hướng thành phố; 35 m²; Hướng thành phố; 32 m²; Hướng thành phố; 32 m²; Cửa sổ; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_006012,IVU_000009,Phòng Tiêu Chuẩn,1111000,15-20 m²,,2,,15-20 m²; Máy lạnh; 15-20 m²; Máy lạnh; 16-22 m²; Máy lạnh; 34 m²; Máy lạnh; 15-20 m²; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_006013,IVU_000009,Phòng Cao Cấp,1342000,15-20 m²,,2,,15-20 m²; Máy lạnh; 15-20 m²; Máy lạnh; 16-22 m²; Máy lạnh; 34 m²; Máy lạnh; 15-20 m²; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_006014,IVU_000009,Phòng Sang Trọng,1452000,16-22 m²,,2,,15-20 m²; Máy lạnh; 15-20 m²; Máy lạnh; 16-22 m²; Máy lạnh; 34 m²; Máy lạnh; 16-22 m²; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_006015,IVU_000009,Phòng Gia Đình,1650000,34 m²,1 Giường đôi & 1 giường đơn,2,,15-20 m²; Máy lạnh; 15-20 m²; Máy lạnh; 16-22 m²; Máy lạnh; 34 m²; Máy lạnh; 34 m²; Máy lạnh; 1 Toilet; 1 Giường đôi & 1 giường đơn
ROOM_009016,IVU_000019,Phòng Superior,1254000,28 m²,2 Giường đơn,3,Hướng sông,28 m²; Phòng không cửa sổ; 30 m²; Cửa sổ; Hướng sông; 30 m²; Hướng sông; 40 m²; Hướng sông; 80 m²; 28 m²; Phòng không cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 2 Giường đơn
ROOM_009017,IVU_000019,Phòng Deluxe,1452000,30 m²,,3,Hướng sông,28 m²; Phòng không cửa sổ; 30 m²; Cửa sổ; Hướng sông; 30 m²; Hướng sông; 40 m²; Hướng sông; 80 m²; 30 m²; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
