room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
IVU_ROOM_000013,IVU_HOTEL_001403,Studio Premier,1269750,50 m²,Giường cũi của em bé (theo yêu cầu),3.0,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 50 m²; Phòng không hút thuốc; Bồn tắm; Máy lạnh; 1 Giường Queen (1m6 x 2m ); Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Bồn tắm; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ô; Dịch vụ báo thức; Trà miễn phí; Bàn ăn; Máy rửa bát; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Máy giặt; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000014,IVU_HOTEL_001403,01 Bedroom Deluxe,1464000,54 m²,Giường cũi của em bé (theo yêu cầu),3.0,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 54 m²; Phòng không hút thuốc; Vòi hoa sen; Máy lạnh; 1 Giường Queen (1m6 x 2m ); Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ô; Dịch vụ báo thức; Trà miễn phí; Bàn ăn; Máy rửa bát; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Máy giặt; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000015,IVU_HOTEL_001403,Phòng Thương Gia Một Phòng Ngủ,1591250,60 m²,Giường cũi của em bé (theo yêu cầu),3.0,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 60 m²; Phòng không hút thuốc; Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Bồn tắm; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ô; Dịch vụ báo thức; Trà miễn phí; Bàn ăn; Máy rửa bát; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Phòng khách riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Máy giặt; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000016,IVU_HOTEL_001403,01 Bedroom Premier,1691500,63 m²,Giường cũi của em bé (theo yêu cầu),3.0,Hướng City view,Hướng City view; 35 m²; Hướng City view; 50 m²; Hướng City view; 54 m²; Hướng City view; 60 m²; Hướng City view; 63 m²; Hướng City view; 71 m²; Hướng City view; 63 m²; Phòng không hút thuốc; Vòi hoa sen; Máy lạnh; 1 Giường Queen (1m6 x 2m ); Khả năng tiếp cận cho người khó đi lại; Phòng tắm có băng ghế tắm; Ấm nước điện; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Đầu đĩa DVD/CD; Internet mạng LAN trong phòng [miễn phí]; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Nước rửa tay; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ô; Dịch vụ báo thức; Trà miễn phí; Bàn ăn; Máy rửa bát; Nước đóng chai miễn phí; Cà phê hòa tan miễn phí; Bếp đầy đủ; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; Khu vực tiếp khách; Khu vực ăn uống riêng; Phòng khách riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Bộ kim chỉ; Máy giặt; Giường cũi của em bé (theo yêu cầu); Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Tủ có khoá; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000017,IVU_HOTEL_001404,Căn hộ,736000,45 m²,Vải trải giường,4.0,,45 m²; Phòng không hút thuốc; 45 m²; Phòng không hút thuốc; Máy sấy tóc; Vật dụng tắm rửa; Các loại khăn; Internet mạng LAN trong phòng [miễn phí]; TV; Wi-Fi [miễn phí]; Điều hòa; Vải trải giường; Lối đi riêng; Bàn làm việc; Tủ quần áo; Máy sấy quần áo; Tiện nghi là/ủi; Máy giặt; Bình chữa cháy
IVU_ROOM_000018,IVU_HOTEL_001405,Phòng Đôi,954500,20 m²,Ổ cắm điện gần giường,2.0,Hướng City view,Hướng City view; 20 m²; Hướng City view; 22 m²; Hướng City view; 35 m²; Hướng City view; 20 m²; Phòng không hút thuốc; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Phòng tắm đứng; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Bộ chuyển đổi nguồn; Điều hòa; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Tủ lạnh; Bàn làm việc; Khu vực tiếp khách; Sàn lát gạch/Sàn đá cẩm thạch; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000019,IVU_HOTEL_001405,HAI GIƯỜNG ĐƠN,1094250,22 m²,Ổ cắm điện gần giường,2.0,Hướng City view,Hướng City view; 20 m²; Hướng City view; 22 m²; Hướng City view; 35 m²; Hướng City view; 22 m²; Phòng không hút thuốc; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Phòng tắm đứng; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Bộ chuyển đổi nguồn; Điều hòa; Rèm che ánh sáng; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Bàn ăn; Tủ lạnh; Bàn làm việc; Khu vực tiếp khách; Sàn lát gạch/Sàn đá cẩm thạch; Thùng rác; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000020,IVU_HOTEL_001405,Studio,1554500,35 m²,Ổ cắm điện gần giường,2.0,Hướng City view,Hướng City view; 20 m²; Hướng City view; 22 m²; Hướng City view; 35 m²; Hướng City view; 35 m²; Phòng không hút thuốc; Ấm nước điện; Máy sấy tóc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Phòng tắm đứng; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Bộ chuyển đổi nguồn; Điều hòa; Rèm che ánh sáng; Vải trải giường; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Bàn ăn; Ấm nước; Bếp nhỏ; Đồ dùng làm bếp; Lò vi sóng; Tủ lạnh; Bàn làm việc; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Sàn lát gạch/Sàn đá cẩm thạch; Thùng rác; Cửa sổ; Tủ quần áo; Tiện nghi là/ủi; Đi lên bằng thang máy; Bình chữa cháy; Điều hòa cá nhân; Két sắt trong phòng; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000021,IVU_HOTEL_001406,Phòng đơn Tiêu chuẩn,436500,18 m²,Ổ cắm điện gần giường,2.0,Hướng City view,Hướng City view; 18 m²; Hướng Outdoor view; 24 m²; Hướng City view; 24 m²; Hướng City view; 18 m²; Phòng không hút thuốc; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Truy cập Internet - không dây; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Máy lọc không khí; Quạt; Nước rửa tay; Vải trải giường; Màn; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Nước đóng chai miễn phí; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Bàn làm việc; Cửa sổ có thể mở ra; Sàn lát gạch/Sàn đá cẩm thạch; Thùng rác; Tủ quần áo; Hành lang ngoài; Đi lên bằng thang máy; Đầu báo khí CO; Bình chữa cháy; Điều hòa cá nhân; Không hút thuốc; Căn hộ riêng trong tòa nhà; Tính năng an toàn/bảo mật; Đầu báo khói
IVU_ROOM_000022,IVU_HOTEL_001406,Phòng Superior 3 người,604500,24 m²,Ổ cắm điện gần giường,2.0,Hướng Outdoor view,Hướng City view; 18 m²; Hướng Outdoor view; 24 m²; Hướng City view; 24 m²; Hướng Outdoor view; 24 m²; Phòng không hút thuốc; Sản phẩm vệ sinh; Gương; phòng tắm riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; TV; TV [màn hình phẳng]; Wi-Fi [miễn phí]; Điều hòa; Quạt; Nước rửa tay; Vải trải giường; Màn; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Nước đóng chai miễn phí; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Bàn làm việc; Cửa sổ có thể mở ra; Sàn lát gạch/Sàn đá cẩm thạch; Thùng rác; Tủ quần áo; Hành lang ngoài; Đầu báo khí CO; Bình chữa cháy; Không hút thuốc; Căn hộ riêng trong tòa nhà; Tính năng an toàn/bảo mật; Đầu báo khói
