hotel_id,city,hotel_name,hotel_link
IVU_000458,vung-tau,Biệt thự & Nhà dân 126 Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/villas-homestay-126-vung-tau
IVU_000459,vung-tau,OYO 1216 Ha Hotel,https://www.ivivu.com/khach-san-vung-tau/oyo-1216-ha-hotel
IVU_000460,vung-tau,OYO 1217 Thao Nguyen Hotel,https://www.ivivu.com/khach-san-vung-tau/oyo-1217-thao-nguyen-hotel
IVU_000461,vung-tau,Apartment 2 GOLD SEA - SWIMMING POOL - Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/apartment-2-gold-sea-swimming-pool-vung-tau
IVU_000462,vung-tau,Apartment 1 GOLD SEA - SWIMMING POOL - Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/apartment-1-gold-sea-swimming-pool-vung-tau
IVU_000463,vung-tau,Căn hộ 2pn Vũng Tàu mặt biển Goom Apartment,https://www.ivivu.com/khach-san-vung-tau/can-ho-2pn-vung-tau-mat-bien-goom-apartment
IVU_000464,vung-tau,Nhà Bin homestay,https://www.ivivu.com/khach-san-vung-tau/nha-bin-homestay
IVU_000465,vung-tau,Minh Nhan Hotel,https://www.ivivu.com/khach-san-vung-tau/minh-nhan-hotel
IVU_000466,vung-tau,Nhật Hạ Hotel Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/nhat-ha-hotel-vung-tau-953650
IVU_000467,vung-tau,Thanh Nhan homestay Vung Tau,https://www.ivivu.com/khach-san-vung-tau/thanh-nhan-homestay-vung-tau
IVU_000468,vung-tau,AN NHIÊN HOTEL,https://www.ivivu.com/khach-san-vung-tau/an-nhien-hotel
IVU_000469,vung-tau,Hostel Nam Phương 2,https://www.ivivu.com/khach-san-vung-tau/nam-phuong-hostel-2
IVU_000470,vung-tau,Green LP Hotel & Apartment,https://www.ivivu.com/khach-san-vung-tau/green-lp-hotel-apartment
IVU_000471,vung-tau,V Boutique Hotel - Complimentary refreshments,https://www.ivivu.com/khach-san-vung-tau/v-boutique-hotel
IVU_000472,vung-tau,Naples Studio Apartment 303,https://www.ivivu.com/khach-san-vung-tau/naples-studio-apartment-303
IVU_000473,vung-tau,Khách Sạn Lighthouse Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/lighthouse-hotel-vung-tau
IVU_000474,vung-tau,Ham Homestay,https://www.ivivu.com/khach-san-vung-tau/ham-homestay
IVU_000475,vung-tau,Dylan Hotel,https://www.ivivu.com/khach-san-vung-tau/dylan-hotel-9059732
IVU_000476,vung-tau,THE VIEW HOTEL,https://www.ivivu.com/khach-san-vung-tau/the-view-hotel-51549131
IVU_000477,vung-tau,Khách sạn Hoàng Anh Vũng Tàu,https://www.ivivu.com/khach-san-vung-tau/hoang-anh-hotel-vung-tau
IVU_000478,vung-tau,Com Homestay,https://www.ivivu.com/khach-san-vung-tau/com-homestay
IVU_000479,vung-tau,OYO 1212 Uyen Phuong Motel,https://www.ivivu.com/khach-san-vung-tau/oyo-1212-uyen-phuong-motel
IVU_000480,vung-tau,TNH Hotel Vung Tau,https://www.ivivu.com/khach-san-vung-tau/sea-ruby-hotel
IVU_000481,vung-tau,Nếp Apartment Hotel,https://www.ivivu.com/khach-san-vung-tau/nep-apartment-hotel
IVU_000482,vung-tau,The Ruộng Resort,https://www.ivivu.com/khach-san-vung-tau/the-ruong-resort
IVU_000483,vung-tau,Hoang Minh Hotel Vung Tau,https://www.ivivu.com/khach-san-vung-tau/hoang-minh-hotel-vung-tau
IVU_000484,vung-tau,Khu nghỉ dưỡng Happy Stay - Novaland Bình Châu,https://www.ivivu.com/khach-san-vung-tau/happy-stay-resort-novaland-binh-chau-new-furniture
IVU_000485,vung-tau,Biệt thự gần bãi biển CocoPalm - Phòng Coco,https://www.ivivu.com/khach-san-vung-tau/cocopalm-villa-near-beach-coco-room
IVU_000486,vung-tau,Khu du lịch Bờ Hồ,https://www.ivivu.com/khach-san-vung-tau/khu-du-lich-bo-ho
IVU_000487,vung-tau,"Biệt thự 16 m² 1 phòng ngủ, 1 phòng tắm riêng ở Ho Coc",https://www.ivivu.com/khach-san-vung-tau/hotel-toan-thinh-view-bien-binh-chau
IVU_000488,vung-tau,Minh DAM Hotel & Restaurant,https://www.ivivu.com/khach-san-vung-tau/minh-dam-hotel-restaurant
IVU_000489,vung-tau,Homestay Lightly,https://www.ivivu.com/khach-san-vung-tau/homestay-lightly
IVU_000490,vung-tau,Thanh Homestay,https://www.ivivu.com/khach-san-vung-tau/thanh-homestay
IVU_000491,vung-tau,Hoang Tam Villa,https://www.ivivu.com/khach-san-vung-tau/hoang-tam-villa
IVU_000492,vung-tau,The Serect Con Dao,https://www.ivivu.com/khach-san-vung-tau/the-serect-con-dao
