Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge,room_class
0.038962397,0.428571429,0.426470588,0.013910211,0.106164384,0.970588235,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,3
0.065531755,0.428571429,0.294117647,0.031407721,0.075342466,0.764705882,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,2
0.018844752,0.142857143,0.794117647,0.003860244,0.397260274,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48099001,0.0,0.308823529,0.219603979,0.356164384,0.411764706,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1
0.028800695,0.142857143,0.279411765,0.014594426,0.157534247,0.735294118,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3
0.016424174,0.142857143,0.147058824,0.013456253,0.095890411,0.441176471,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5
0.559323859,0.571428571,0.455882353,0.18622415,0.087671233,0.470588235,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1
0.005930378,0.285714286,0.161764706,0.005049851,0.063926941,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.185898409,0.571428571,0.338235294,0.079207765,0.065753425,0.470588235,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2
0.051286164,0.285714286,0.720588235,0.01149818,0.237442922,0.5,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,4
0.089314281,0.571428571,0.235294118,0.050477977,0.046575342,0.852941176,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4
0.018984923,0.142857143,0.205882353,0.012279499,0.123287671,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.00546927,0.428571429,0.617647059,0.001472473,0.150684932,0.0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
0.051502371,0.571428571,0.205882353,0.032288986,0.04109589,0.5,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,5
0.034443337,0.571428571,0.132352941,0.029157785,0.02739726,0.588235294,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,5
0.003741271,0.142857143,0.529411765,0.001220235,0.273972603,0.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5
0.205652776,0.714285714,0.735294118,0.045211995,0.114155251,0.794117647,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,4
0.063807232,0.428571429,0.676470588,0.015142587,0.164383562,0.558823529,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1
0.003305632,0.142857143,0.279411765,0.002043794,0.157534247,0.0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,4
0.01672304,0.0,0.205882353,0.010887658,0.260273973,0.794117647,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,5
0.01924437,0.571428571,0.705882353,0.004414264,0.134246575,0.735294118,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,4
0.075813227,0.142857143,0.632352941,0.019103881,0.321917808,0.823529412,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,2
0.004114244,0.142857143,0.132352941,0.00427393,0.089041096,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3
0.045077649,0.0,0.352941176,0.018788287,0.397260274,0.794117647,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,3
