hotel_name,hotel_url,detail_url,name_detail,phone,ratingValue,reviewCount,priceRange,address,amenities,room_types
550. The Hotel Nicecy,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26364856-Reviews-The_Hotel_Nicecy-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26364856-Reviews-The_Hotel_Nicecy-Ho_Chi_Minh_City.html,The Hotel Nicecy,,4.0,2.0,842.105 ₫ - 1.473.684 ₫,"271 Đ. Lê Thánh Tôn Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71000, Việt Nam",,Thành phố
108. Cap Town Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2298514-Reviews-Cap_Town_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2298514-Reviews-Cap_Town_Hotel-Ho_Chi_Minh_City.html,Cap Town Hotel,,4.0,316.0,1.052.632 ₫ - 1.921.053 ₫,"30 Đ. Lê Anh Xuâ Ward, Quận 1, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bàn làm việc, Bữa sáng miễn phí, Bảo vệ 24 giờ, Bồn tắm / vòi sen, Dọn phòng, Giặt khô, Internet tốc độ miễn phí (WiFi), Khu để hành lý, Két sắt, Máy pha cà phê / trà, Nhận phòng / trả phòng nhanh, Phòng không hút thuốc, Quầy bar mini, TV màn hình phẳng, Tiếp tân 24 giờ, Xe đưa đón sân bay, Điều hòa nhiệt độ",Thành phố
Pearl Hotel - Dao Tan,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d3200243-Reviews-Pearl_Hotel_Dao_Tan-Hanoi.html,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d3200243-Reviews-Pearl_Hotel_Dao_Tan-Hanoi.html,Pearl Hotel - Dao Tan,,4.0,1.0,,"118 2, Dao Tan Street, Ba Dinh District, 10000, Việt Nam",,
170. Jasmine Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1401060-Reviews-Jasmine_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1401060-Reviews-Jasmine_Hotel-Ho_Chi_Minh_City.html,Jasmine Hotel,,4.0,506.0,473.684 ₫ - 973.684 ₫,"283/25 Phạm Ngũ Lão, Q.1, Thành phố Hồ Chí Minh, 70000, Việt Nam",,Thành phố
134. Cochin Zen Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d954054-Reviews-Cochin_Zen_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d954054-Reviews-Cochin_Zen_Hotel-Ho_Chi_Minh_City.html,Cochin Zen Hotel,,4.0,85.0,1.684.211 ₫ - 4.105.263 ₫,"46-46 Bis Thủ Khoa Huân, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bàn làm việc, Bữa sáng miễn phí, Bảo vệ 24 giờ, Bể bơi, Bồn tắm / vòi sen, Internet tốc độ miễn phí (WiFi), Khu vực ngồi, Két sắt, Ngắm cảnh thành phố, Phòng không hút thuốc, Phòng Suite, Phòng có tủ để đồ ở trung tâm thể dục thẩm mỹ / spa, Quầy bar mini, Spa, Sân thượng, TV màn hình phẳng, Truyền hình cáp / truyền hình vệ tinh, Xe đưa đón sân bay, Điều hòa nhiệt độ","Ngắm cảnh, Suite, Thành phố"
683. Khách Sạn Tuấn Long,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19819016-Reviews-Tuan_Long_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19819016-Reviews-Tuan_Long_Hotel-Ho_Chi_Minh_City.html,Khách Sạn Tuấn Long,,4.0,1.0,342.105 ₫ - 473.684 ₫,"487/14 Huỳnh Tấn Phát Quận 7, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bãi đỗ xe miễn phí, Dịch vụ phòng, Internet tốc độ miễn phí (WiFi), Phòng Suite, Wifi, Xe đưa đón sân bay","Suite, Thành phố"
704. Good House De Tham,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15858624-Reviews-Good_House_De_Tham-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15858624-Reviews-Good_House_De_Tham-Ho_Chi_Minh_City.html,Good House De Tham,,4.0,1.0,394.737 ₫ - 973.684 ₫,"196/5 De Tham, Pham Ngu Lao Ward, Thành phố Hồ Chí Minh, Việt Nam",,Thành phố
Khanh Duong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d15074254-Reviews-Khanh_Duong_Hotel-Can_Tho_Mekong_Delta.html,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d15074254-Reviews-Khanh_Duong_Hotel-Can_Tho_Mekong_Delta.html,Khanh Duong Hotel,,4.0,1.0,,"20 Tran Quang Khai Cai Khe Ward, Ninh Kieu District, Cần Thơ, Việt Nam",,Công tác
703. Khách Sạn CelesStar,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16736990-Reviews-ND_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16736990-Reviews-ND_Hotel-Ho_Chi_Minh_City.html,Khách Sạn CelesStar,,4.0,1.0,578.947 ₫ - 657.895 ₫,"28 Ấp Bắc, Phường 13, Quận Tân Bình, Thành Phố Hồ Chí Minh, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
706. Hoang Phuc 1,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d8025931-Reviews-Hoang_Phuc_1-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d8025931-Reviews-Hoang_Phuc_1-Ho_Chi_Minh_City.html,Hoang Phuc 1,,4.0,1.0,473.684 ₫ - 894.737 ₫,"37 street 6B, Binh Chanh, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bồn tắm / vòi sen, Dịch vụ đánh thức / đồng hồ báo thức, Quầy bar mini, Điều hòa nhiệt độ, Điện thoại, Đồ dùng nhà tắm miễn phí",Thành phố
