Scenario,Hotel Name,Stars_Clean,District,Address,Room_Class,Room Type,Bed_Class,Bed Type,Final Price,Original Price,Discount %,Rating_Clean,Review Count,Location_Clean,Distance_KM,Free_Cancel_Bool,Breakfast_Bool,Badge_Clean,Adults,Children,Total_Guests,Check-in
Random_1A_2C_1R_Ages(1_2),Nu Apartment in Rivergate - Bright & Comfortable - near Ben Thanh,3.0,Quận 4,"Quận 4, TP. Hồ Chí Minh (Bach Dang Riverside)",Other,Căn hộ 2 phòng ngủ nhìn ra cảnh thành phố,Double/Large,2 giường đôi lớn,2049138,2927340,30.0,7.6,5.0,,1.7,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Nice Condo - Soho Building,0.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ Studio,Double/Large,2 giường đôi lớn,1080000,1080000,0.0,10.0,2.0,,1.5,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),SOL Home,0.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi Kèm Giường Phụ,Double/Large,Phòng Deluxe Giường Đôi Kèm Giường Phụ,874800,1458000,40.0,10.0,1.0,,2.3,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),NamiStay Homes Center Sai Gon,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Standard/Superior,Phòng Có Giường Cỡ Queen Với Ban Công,Double/Large,Phòng Có Giường Cỡ Queen Với Ban Công,756000,1260000,40.0,8.9,77.0,,2.0,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Chez Lotus Rose,0.0,Quận 4,"Quận 4, TP. Hồ Chí Minh",Other,Phòng cho 3 người có Ban Công,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",715500,715500,0.0,8.6,102.0,,2.3,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Hoang Luxury Hotel Dist 1 Ho Chi Minh,3.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,836400,1742500,52.0,8.3,71.0,9.3,1.0,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Austin Home Apartment CBD - Near Tan Son Nhat Airport,0.0,Quận Tân,"Quận Tân Bình, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,2 giường đôi,693000,693000,0.0,8.5,13.0,,4.9,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Beautiful Hotel Bui vien,2.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng 3 Người Nhìn Ra Thành Phố,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",875000,2500000,65.0,7.5,20.0,,1.1,1,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Oasis Central Residence & Hotel - ZENITY & D1 MENSION CapitaLand,5.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,2 giường đôi cực lớn,2610000,5220000,50.0,9.1,60.0,,2.6,1,0,Ưu Đãi Trong Thời Gian Có Hạn,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Hana homestay- 1 Phòng ngủ trong căn hộ chủ nhà đang ở tại Park 4-Vinhome Central Park Tân cảng Bình Thạnh HCM- sát landmark 81,0.0,Quận Bình,"Quận Bình Thạnh, TP. Hồ Chí Minh (Hàng Xanh)",Standard/Superior,Phòng Giường Đôi Có Phòng Tắm Riêng,Double/Large,Phòng Giường Đôi Có Phòng Tắm Riêng,889200,889200,0.0,9.5,14.0,9.9,3.1,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),MIN' Apartment - Rivergate Residence Downtown Bui Vien - FREE POOL,4.0,Quận 4,"Quận 4, TP. Hồ Chí Minh (Bach Dang Riverside)",Family/Large,Phòng Deluxe Gia đình,Double/Large,2 giường đôi lớn,1870000,1870000,0.0,8.6,323.0,,1.5,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Tan Da Hotel,1.0,Quận 5,"Quận 5, TP. Hồ Chí Minh",Standard/Superior,Phòng Tiêu Chuẩn 2 Giường Đơn,Single/Twin,Phòng Tiêu Chuẩn 2 Giường Đơn,560087,560087,0.0,6.8,46.0,,4.7,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Phú Gia 113 NTT,0.0,Quận 7,"Quận 7, TP. Hồ Chí Minh",Standard/Superior,Phòng Superior Có 2 Giường Cỡ Queen,Double/Large,Phòng Superior Có 2 Giường Cỡ Queen,702000,1080000,35.0,7.3,27.0,,4.8,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Beautiful Bui vien Hotel,2.0,Quận 1,"Quận 1, TP. Hồ Chí Minh (Pham Ngu Lao)",Standard/Superior,Phòng Superior 3 Người,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",885500,1150000,23.0,8.4,5.0,9.5,1.1,1,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),"Home, Cosy&Luxury Apartment - 5mins to Airport, Free Pool&Gym, Airport Pick up Service",3.0,Quận Tân,"Quận Tân Bình, TP. Hồ Chí Minh",Deluxe,Căn hộ Deluxe,Double/Large,"3 giường (2 giường đôi rất lớn, 1 giường sofa)",2150000,2150000,0.0,8.5,67.0,,4.9,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Kim Yen Hotel,2.0,Quận Phú,"Quận Phú Nhuận, TP. Hồ Chí Minh",Standard/Superior,Phòng Tiêu Chuẩn Giường Đôi,Double/Large,Phòng Tiêu Chuẩn Giường Đôi,505750,505750,0.0,7.6,38.0,,3.4,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Hotel thanh vinh,0.0,Quận 10,"Quận 10, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe Giường Đôi/2 Giường Đơn Có Ban Công,Double/Large,Phòng Deluxe Giường Đôi/2 Giường Đơn Có Ban Công,600000,600000,0.0,8.2,230.0,,4.0,1,0,No Deal,1,2,3,12/17/2025
