hotel_name,hotel_url,detail_url,name_detail,phone,ratingValue,reviewCount,priceRange,address,amenities,room_types
19. La Siesta Premium Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d25442757-Reviews-La_Siesta_Premium_Saigon-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d25442757-Reviews-La_Siesta_Premium_Saigon-Ho_Chi_Minh_City.html,La Siesta Premium Saigon,2835354461.0,5.0,1745.0,3.894.737 ₫ - 10.736.842 ₫,"180 - 188 Ly Tu Trong St., Ben Thanh Ward,, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bữa sáng miễn phí, Bể bơi, Dịch vụ phòng, Dịch vụ đánh thức / đồng hồ báo thức, Internet tốc độ miễn phí (WiFi), Két sắt, Máy sấy tóc, Phòng không hút thuốc, Phòng Suite, Phòng cách âm, Phòng họp, Phòng không gây dị ứng, Quầy bar mini, Spa, Trung tâm thương mại có truy cập Internet, Trung tâm thể dục thẩm mỹ, Xe đưa đón sân bay, Điều hòa nhiệt độ","Công tác, Phòng cách âm, Suite, Thành phố"
20. Liberty Hotel Saigon Park View,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306200-Reviews-Liberty_Hotel_Saigon_Park_View-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d306200-Reviews-Liberty_Hotel_Saigon_Park_View-Ho_Chi_Minh_City.html,Liberty Hotel Saigon Park View,,3.6,744.0,842.105 ₫ - 1.921.053 ₫,"265 Phạm Ngũ Lão Street Quận 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,"Ngắm cảnh, Thành phố"
Scenic Valley Suite,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19175044-Reviews-Scenic_Valley_Suite-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19175044-Reviews-Scenic_Valley_Suite-Ho_Chi_Minh_City.html,Scenic Valley Suite,,4.0,4.0,1.368.421 ₫ - 2.763.158 ₫,"Block F, Scenic Valley 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
21. Khách Sạn & Căn hộ Oakwood Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d24983800-Reviews-Oakwood_Hotel_Apartments_Saigon-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d24983800-Reviews-Oakwood_Hotel_Apartments_Saigon-Ho_Chi_Minh_City.html,Khách Sạn & Căn hộ Oakwood Sài Gòn,,4.9,106.0,1.710.526 ₫ - 3.947.368 ₫,"330A - 330B Đường Ung Văn Khiêm 330a – 330b Ung Văn Khiêm Phường 25, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bàn làm việc, Bãi đỗ xe miễn phí, Bếp nhỏ, Bảo vệ 24 giờ, Dịch vụ taxi hoặc xe đưa đón miễn phí, Giường siêu dài, Internet tốc độ miễn phí (WiFi), Khu ăn uống, Khu để hành lý, Ngắm cảnh thành phố, Nhìn ra tòa nhà, Phòng không hút thuốc, Phòng Suite, Phòng cho gia đình, Quầy bar / sảnh chờ, Trung tâm thể dục thẩm mỹ, Truyền hình cáp / truyền hình vệ tinh, Trẻ em lưu trú miễn phí, Vòi sen đứng, Áo choàng tắm, Điều hòa nhiệt độ","Ngắm cảnh, Suite, Thành phố"
22. Signature by M Village Hai Ba Trung,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26813236-Reviews-Signature_by_M_Village_Hai_Ba_Trung-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26813236-Reviews-Signature_by_M_Village_Hai_Ba_Trung-Ho_Chi_Minh_City.html,Signature by M Village Hai Ba Trung,,5.0,217.0,2.657.895 ₫ - 5.973.684 ₫,"74 Hai Bà Trưng Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 700000, Việt Nam","Ban công riêng, Bảo vệ 24 giờ, Bồn tắm / vòi sen, Cà phê hòa tan miễn phí, Dịch vụ giặt là, Dịch vụ taxi, Giặt khô, Internet tốc độ miễn phí (WiFi), Khu để hành lý, Két sắt, Màn che ánh sáng, Máy pha cà phê / trà, Phòng không hút thuốc, Phòng Suite, Quầy bar mini, Trà miễn phí, Điều hòa nhiệt độ, Điện thoại","Ban công, Suite, Thành phố"
23. La Siesta Premium Saigon Central,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d28236340-Reviews-La_Siesta_Premium_Saigon_Central-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d28236340-Reviews-La_Siesta_Premium_Saigon_Central-Ho_Chi_Minh_City.html,La Siesta Premium Saigon Central,,5.0,374.0,2.894.737 ₫ - 9.973.684 ₫,"47 - 51 Le Anh Xuan St., Ben Thanh Ward, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
24. Alagon D'antique Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d10150919-Reviews-Alagon_D_antique_Hotel_Spa-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d10150919-Reviews-Alagon_D_antique_Hotel_Spa-Ho_Chi_Minh_City.html,Alagon D'antique Hotel & Spa,,4.6,1779.0,1.973.684 ₫ - 6.026.316 ₫,"301-303 Ly Tu Trọng Ben Thanh Ward, District 1, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bữa sáng miễn phí, Bể bơi, Dịch vụ phòng, Dịch vụ đánh thức / đồng hồ báo thức, Internet tốc độ miễn phí (WiFi), Két sắt, Phòng không hút thuốc, Phòng Suite, Quầy bar mini, Spa, Sân thượng, TV màn hình phẳng, Tiện nghi cho hội nghị, Trung tâm thể dục thẩm mỹ, Tủ lạnh, Xe đưa đón sân bay, Điều hòa nhiệt độ","Suite, Thành phố"
25. Home Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21250952-Reviews-Home_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21250952-Reviews-Home_Hotel-Ho_Chi_Minh_City.html,Home Hotel,,4.8,18.0,868.421 ₫ - 1.657.895 ₫,"158 Nguyen Dinh Chinh Phuong 8, Quan Phu Nhuan., Thành phố Hồ Chí Minh, 70000, Việt Nam",,"Hạng trung, Ngắm cảnh, Thành phố"
26. Somerset Chancellor Court Ho Chi Minh City,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d627072-Reviews-Somerset_Chancellor_Court_Ho_Chi_Minh_City-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d627072-Reviews-Somerset_Chancellor_Court_Ho_Chi_Minh_City-Ho_Chi_Minh_City.html,Somerset Chancellor Court Ho Chi Minh City,,4.4,637.0,2.947.368 ₫ - 6.052.632 ₫,"21 - 23 Nguyễn Thị Minh Khai Street District 1, Thành phố Hồ Chí Minh, 780000, Việt Nam",,"Hạng trung, Thành phố, bếp nhỏ"
27. Bong Sen Hotel Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1748426-Reviews-Bong_Sen_Hotel_Saigon-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1748426-Reviews-Bong_Sen_Hotel_Saigon-Ho_Chi_Minh_City.html,Bong Sen Hotel Saigon,,3.7,594.0,1.342.105 ₫ - 2.000.000 ₫,"123 117, Dong Khoi Street District 1, Thành phố Hồ Chí Minh, 70000, Việt Nam","Bữa sáng miễn phí, Dịch vụ phòng, Giặt khô, Internet tốc độ miễn phí (WiFi), Khách sạn không hút thuốc, Nhân viên hỗ trợ tiền sảnh, Phòng không hút thuốc, Phòng Suite, Phòng họp, Quầy bar mini, TV màn hình phẳng, Trung tâm thương mại có truy cập Internet, Xe đưa đón sân bay, Điều hòa nhiệt độ","Suite, Thành phố"
