final_name,detail_url,_parse_status,ratingValue,reviewCount,price_min,price_max,price_avg,streetAddress,addressLocality,addressCountry,lat,lng,amenities
Cochin Sang Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1791601-Reviews-Cochin_Sang_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.9,459.0,1710526.0,7736842.0,4723684.0,"28-30 Nguyễn An Ninh Phường Bến Thành, Quận 1",Thành phố Hồ Chí Minh,Việt Nam,10.771896,106.69705,
Common Inn Thao Dien,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13437093-Reviews-Common_Inn_Thao_Dien-Ho_Chi_Minh_City.html,ok_jsonld,4.7,182.0,763158.0,1026316.0,894737.0,"19 Đường số 38 Phường Thảo Điền, Quận 2",Thành phố Hồ Chí Minh,Việt Nam,10.802874,106.73272,
White Lotus Hotel Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d2505790-Reviews-White_Lotus_Hotel_Saigon-Ho_Chi_Minh_City.html,ok_jsonld,3.8,131.0,894737.0,2500000.0,1697368.5,"6A Thi Sach Ben Nghe Ward, District 1",Thành phố Hồ Chí Minh,Việt Nam,10.778176,106.7046,
Lynn của Maison Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d32976765-Reviews-Lynn_by_La_Doma_Express-Ho_Chi_Minh_City.html,ok_jsonld,4.6,11.0,500000.0,1078947.0,789473.5,"43C Kỳ Đồng Phường 9, Quận 3",Thành phố Hồ Chí Minh,Việt Nam,10.780835,106.68151,
Huỳnh Anh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17352220-Reviews-Huynh_Anh_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,5.0,3.0,289474.0,421053.0,355263.5,"10 Đường số 51 Phường 14, Quận Gò Vấp",Thành phố Hồ Chí Minh,Việt Nam,10.84828,106.64796,
Khách Sạn Northern Charm,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21504597-Reviews-Northern_Charm_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.8,50.0,2157895.0,4868421.0,3513158.0,"12 Ly Tu Trong Street Ben Nghe Ward, District 1",Thành phố Hồ Chí Minh,Việt Nam,10.781981,106.70457,
Hera Luxury Hotel - Tan Son Nhat Airport,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26431316-Reviews-Hera_Luxury_Hotel_Tan_Son_Nhat_Airport-Ho_Chi_Minh_City.html,ok_jsonld,3.6,14.0,842105.0,1315789.0,1078947.0,19 Hậu Giang Phường 4,Thành phố Hồ Chí Minh,Việt Nam,10.807629,106.663864,
Norfolk Mansion Sài Gòn,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1226007-Reviews-Norfolk_Mansion_Luxury_Serviced_Apartment-Ho_Chi_Minh_City.html,ok_jsonld,4.5,236.0,3894737.0,6578947.0,5236842.0,17-19-21 Lý Tự Trọng Quận 1,Thành phố Hồ Chí Minh,Việt Nam,10.780975,106.703964,
Đại Nam Sài Gòn Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19116363-Reviews-Dai_Nam_Sai_Gon_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,5.0,5.0,631579.0,1184211.0,907895.0,"5/11 Nguyễn Siêu Bến Nghé, Quận 1",Thành phố Hồ Chí Minh,Việt Nam,10.777253,106.70478,
Dahlialand Saigon Hotel & Swimming Pool,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d33243023-Reviews-Dahlialand_Saigon_Hotel_Swimming_Pool-Ho_Chi_Minh_City.html,ok_jsonld,5.0,5.0,894737.0,2789474.0,1842105.5,145 Lê Thị Riêng,Thành phố Hồ Chí Minh,Việt Nam,10.770687,106.68926,
Dyn Opera Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17577594-Reviews-Dyn_Opera_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.1,32.0,578947.0,1657895.0,1118421.0,"18 Đường Cao Bá Quát, Phường Bến Nghé, Quận 01",Thành phố Hồ Chí Minh,Việt Nam,10.7783,106.70444,
Galaxy Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d19434140-Reviews-Galaxy_Boutique_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,4.3,14.0,421053.0,842105.0,631579.0,"269/19 De Tham Street Phạm Ngũ Lão Ward, District 1",Thành phố Hồ Chí Minh,Việt Nam,10.7684,106.69325,
Khách Sạn TTC - Sân Bay,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1787810-Reviews-TTC_Hotel_Airport-Ho_Chi_Minh_City.html,ok_jsonld,4.7,212.0,789474.0,1552632.0,1171053.0,"315 Hoàng Văn Thụ Phường 2, Tân Bình",Thành phố Hồ Chí Minh,Việt Nam,10.800532,106.661446,
Ibis Saigon South,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d3312777-Reviews-Ibis_Saigon_South-Ho_Chi_Minh_City.html,ok_jsonld,4.1,376.0,1394737.0,2421053.0,1907895.0,73 Hoang Van Thai Street Phú Mỹ Hưng Tan Phu Ward,Thành phố Hồ Chí Minh,Việt Nam,10.730502,106.723434,
Kaya Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1582771-d1867847-Reviews-Kaya_Hotel-Tuy_Hoa_Dak_Lak_Province.html,ok_jsonld,3.5,55.0,763158.0,868421.0,815789.5,"238 Hung Vuong Boulevard Ward 7, Tuy Hòa",,Việt Nam,0.0,0.0,
TTR Central Apart Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d25558286-Reviews-TTR_Central_Apart_Hotel-Da_Lat_Lam_Dong_Province.html,ok_jsonld,4.2,5.0,578947.0,1526316.0,1052631.5,"4B Hải Thượng Phường 6, Đà Lạt",,Việt Nam,0.0,0.0,
Peace Resort,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d7241699-Reviews-Peace_Resort-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html,ok_jsonld,2.0,9.0,815789.0,1184211.0,1000000.0,"Xuan Thuy Street, Mũi Né",,Việt Nam,0.0,0.0,
Thu Ha Cat Ba Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d3478183-Reviews-Thu_Ha_Cat_Ba_Hotel-Cat_Ba_Hai_Phong.html,ok_jsonld,3.4,71.0,394737.0,1500000.0,947368.5,205 Đường 1/4,,Việt Nam,0.0,0.0,
"Duong To, Phu Quoc",https://www.tripadvisor.com.vn/Hotel_Review-g469418-d15517460-Reviews-Duong_To_Phu_Quoc-Phu_Quoc_Island_Kien_Giang_Province.html,ok_jsonld,0.0,0.0,,,,Duong Tinh 973 Phu Son,,Việt Nam,0.0,0.0,
