link,ten,gia_niem_yet,discount,gia_hien_tai,dia_chi,so_luong_danh_gia,diem_danh_gia,tien_nghi
https://mytour.vn/khach-san/125-khach-san-a25-20-bui-thi-xuan.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnneq6qa%252f2w8zmmtetofku6s57towd3c%252fqiawfssj7c7ec8wpb1hnn6tp8b1gmdphg%253d,khách sạn a25 - 20 bùi thị xuân,1780381.0,-0.3,1246266.0,"20, bùi thị xuân, quận 1, hồ chí minh, việt nam",97.0,7.8,đưa/đón khách sân bay | cho thuê xe máy | lễ tân 24h | giữ hành lý | bán tour | báo thức | két an toàn
https://mytour.vn/khach-san/127371-khach-san-silverland-may.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5qi1tcic%252byvbl%252by3fox9qh0p8jnvfyckvivtve6x78ekoae3zsmaa1vdin%252fwbvtfww%253d,khách sạn silverland mây,2727667.0,-0.18,2236686.0,"28 - 30 thi sách, phường bến nghé, quận 1, thành phố hồ chí minh, thi sách, quận 1, hồ chí minh, việt nam",182.0,8.8,
https://mytour.vn/khach-san/127405-khach-san-a25-14-pho-duc-chinh.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252bltnkagqneovd2iv7m3dzt8%252b1fso%252b2bhdlbapxox3s5hhx4cbgs3krju%253d,khách sạn a25 - 14 pho duc chinh,1271050.0,-0.25,953287.0,"14 pho duc chinh, phó đức chính, quận 1, hồ chí minh, việt nam",,8.4,đưa/đón khách sân bay | cho thuê xe máy | lễ tân 24h | giữ hành lý | bán tour | báo thức | két an toàn
https://mytour.vn/khach-san/127406-the-royal-landpark-phu-my-hung.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252blznztqjdfnedk1ddh4m%252b%252buqklurxugyzdbl8uhb9od3e,the royal landpark - phu my hung,2074118.0,-0.75,518529.0,"25 hung gia 3, tan phong ward, dist 7, hưng gia 3, quận 7, hồ chí minh, việt nam",41.0,8.4,
https://mytour.vn/khach-san/127412-sabina-residence-hcm.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252blxxme5rjp9nzf%252b%252bryg4rgibrqljl5s%252bfye2v1qunlcyc,sabina residence hcm,993827.0,-0.21,785123.0,"32 -34, hưng gia 1, quận 7, hồ chí minh, việt nam",28.0,8.4,
https://mytour.vn/khach-san/1275267-signature-by-m-village-hai-ba-trung.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5puangvmqeet4eten8wqjxinaqslh82dsxbuezflstahfrf6bpjfrw3byofhhbfv7y%253d,signature by m village hai bà trưng,2170999.0,-0.18,1780219.0,"74, hai bà trưng, quận 1, hồ chí minh, việt nam",,8.4,đưa/đón khách sân bay | xe đưa đón tham quan | lễ tân 24h | giữ hành lý | két an toàn | internet miễn phí. | dọn phòng hàng ngày
https://mytour.vn/khach-san/1281341-the-shilla-luxury-i-hotel.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5rolgmhyv2na5uziekdnzlqktw8q%252b2vsiyonmrdvsr7dtgkwzewovbz,the shilla luxury i hotel,770917.0,-0.29,547351.0,"75-77 pham khiêm ich, khu đô thị phú mỹ hưng, phương tân phong, quận 7,",57.0,8.6,lễ tân 24h | dọn phòng hàng ngày | dịch vụ giặt là | nhà hàng
https://mytour.vn/khach-san/1284-khach-san-white-lotus.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252blvbfwukptvsx0eqabhqxqxu9bv9%252brxx04d5v6xxzxkofyxqn2cklk%252fg%253d,khách sạn white lotus,1330434.0,-0.18,1090955.0,"6a, thi sách, quận 1, hồ chí minh, việt nam",222.0,7.8,đưa/đón khách sân bay | xe đưa đón tham quan | cho thuê xe hơi | lễ tân 24h | thu đổi ngoại tệ | giữ hành lý | bán tour
https://mytour.vn/khach-san/1288214-thanh-vinh-hotel-and-apartment.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnneq6qa%252f2w8wfdjwx5in83wzzndveywc3qfwgjcnt8csu8knxsqf09,thành vinh hotel & apartment,382687.0,-0.31,264054.0,562 song hành xa lộ hà nội,8.0,8.2,đưa/đón khách sân bay | lễ tân 24h | thu đổi ngoại tệ | giữ hành lý | bán tour | két an toàn | đặt vé xe/máy bay
https://mytour.vn/khach-san/1298396-the-star-hotel-dist-7-hcmc.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5ohrhb7xffmytemua5%252bqpd%252f4dfu1h%252bjvygsl1ilwqrakn9ebd%252btlolt,"the star hotel - phu my hung, ho chi minh (korean buffet breakfast)",6061980.0,-0.24,4607104.0,15 khu phố hưng phước 2,,8.4,cho thuê xe hơi | lễ tân 24h | giữ hành lý | két an toàn | dọn phòng hàng ngày | dịch vụ giặt là | thang máy
