Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge,room_class,lr_room_class,lr_conf,is_misaligned
0.005930378,0.285714286,0.161764706,0.005049851,0.063926941,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0.381268420785563,False
0.185898409,0.571428571,0.338235294,0.079207765,0.065753425,0.470588235,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2,1,0.5842115394869746,False
0.051286164,0.285714286,0.720588235,0.01149818,0.237442922,0.5,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,4,4,0.8820956041120055,False
0.089314281,0.571428571,0.235294118,0.050477977,0.046575342,0.852941176,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,4,0.693600874282258,False
0.018984923,0.142857143,0.205882353,0.012279499,0.123287671,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0.3067120318375615,False
0.00546927,0.428571429,0.617647059,0.001472473,0.150684932,0.0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0.4636593524268129,False
0.051502371,0.571428571,0.205882353,0.032288986,0.04109589,0.5,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,5,5,0.6396748974640537,False
0.034443337,0.571428571,0.132352941,0.029157785,0.02739726,0.588235294,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,5,5,0.795459023649195,False
0.003741271,0.142857143,0.529411765,0.001220235,0.273972603,0.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0.46892113885445696,False
0.205652776,0.714285714,0.735294118,0.045211995,0.114155251,0.794117647,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,4,4,0.8221672586184403,False
0.063807232,0.428571429,0.676470588,0.015142587,0.164383562,0.558823529,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0.3991624300449201,False
0.003305632,0.142857143,0.279411765,0.002043794,0.157534247,0.0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,4,4,0.38887480910699673,False
0.01672304,0.0,0.205882353,0.010887658,0.260273973,0.794117647,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,5,5,0.4507670852613278,False
0.01924437,0.571428571,0.705882353,0.004414264,0.134246575,0.735294118,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,4,4,0.6436006677162899,False
